1,09/14/89,09/20/89,
2,09/21/89,09/27/89,
3,09/28/89,10/04/89,
4,10/05/89,10/11/89,
5,10/12/89,10/18/89,
6,10/19/89,10/25/89,
7,10/26/89,11/01/89,Halloween
8,11/02/89,11/08/89,
9,11/09/89,11/15/89,
10,11/16/89,11/22/89,
11,11/23/89,11/29/89,Thanksgiving
12,11/30/89,12/06/89,
13,12/07/89,12/13/89,
14,12/14/89,12/20/89,
15,12/21/89,12/27/89,Christmas
16,12/28/89,01/03/90,New-Year
17,01/04/90,01/10/90,
18,01/11/90,01/17/90,
19,01/18/90,01/24/90,
20,01/25/90,01/31/90,
21,02/01/90,02/07/90,
22,02/08/90,02/14/90,
23,02/15/90,02/21/90,Presidents Day
24,02/22/90,02/28/90,
25,03/01/90,03/07/90,
26,03/08/90,03/14/90,
27,03/15/90,03/21/90,
28,03/22/90,03/28/90,Easter
29,03/29/90,04/04/90,
30,04/05/90,04/11/90,
31,04/12/90,04/18/90,
32,04/19/90,04/25/90,
33,04/26/90,05/02/90,
34,05/03/90,05/09/90,
35,05/10/90,05/16/90,
36,05/17/90,05/23/90,
37,05/24/90,05/30/90,Memorial Day
38,05/31/90,06/06/90,
39,06/07/90,06/13/90,
40,06/14/90,06/20/90,
41,06/21/90,06/27/90,
42,06/28/90,07/04/90,4th of July
43,07/05/90,07/11/90,
44,07/12/90,07/18/90,
45,07/19/90,07/25/90,
46,07/26/90,08/01/90,
47,08/02/90,08/08/90,
48,08/09/90,08/15/90,
49,08/16/90,08/22/90,
50,08/23/90,08/29/90,
51,08/30/90,09/05/90,Labor Day
52,09/06/90,09/12/90,
53,09/13/90,09/19/90,
54,09/20/90,09/26/90,
55,09/27/90,10/03/90,
56,10/04/90,10/10/90,
57,10/11/90,10/17/90,
58,10/18/90,10/24/90,
59,10/25/90,10/31/90,Halloween
60,11/01/90,11/07/90,
61,11/08/90,11/14/90,
62,11/15/90,11/21/90,
63,11/22/90,11/28/90,Thanksgiving
64,11/29/90,12/05/90,
65,12/06/90,12/12/90,
66,12/13/90,12/19/90,
